id;puncture;temperature;weight;weight_after_hydration;time_under_hydration;phase;radicle;time
475;Yes;34;0,425;1,342;42;Germinated;10,6;19,1
437;Yes;34;0,483;1,484;41;Germinated;9,9;19,54
390;Yes;31;0,481;1,319;41;Germinated;8,7;20,43
465;Yes;34;0,466;1,434;42;Germinated;9,2;20,93
317;Yes;28;0,384;1,536;41;Germinated;6,9;20,93
401;No;31;0,529;1,606;41;Germinated;8,2;21,37
462;Yes;34;0,545;1,478;42;Germinated;8,7;21,65
359;Yes;31;0,393;1,421;41;Germinated;8;21,75
420;Yes;31;0,528;1,48;41;Germinated;7,9;21,95
440;Yes;34;0,482;1,462;41;Germinated;8,2;22,15
318;Yes;28;0,512;1,29;41;Germinated;6,1;22,33
434;Yes;34;0,446;1,281;41;Germinated;7,8;22,72
480;Yes;34;0,459;1,54;42;Germinated;7,3;24,2
290;Yes;28;0,473;1,412;41;Germinated;4,9;24,78
432;Yes;34;0,421;1,428;41;Germinated;6,6;24,79
447;Yes;34;0,315;1,279;41;Germinated;6,6;24,99
368;No;31;0,375;1,372;41;Germinated;6,4;25
431;Yes;34;0,429;1,449;41;Germinated;6,4;25,14
386;Yes;31;0,53;1,606;41;Germinated;6,1;25,64
308;Yes;28;0,393;1,284;41;Germinated;4,5;25,71
382;Yes;31;0,499;1,466;41;Germinated;6;25,85
226;Yes;25;0,388;1,265;41;Germinated;3,5;26,27
384;Yes;31;0,474;1,401;41;Germinated;5,7;26,51
370;Yes;31;0,47;1,27;41;Germinated;5,6;26,73
280;Yes;25;0,473;1,333;41;Germinated;3,2;27,01
299;Yes;28;0,45;1,293;41;Germinated;3,9;27,22
402;Yes;31;0,364;1,271;41;Germinated;5;28,08
354;Yes;31;0,378;1,314;41;Germinated;4,9;28,31
288;Yes;28;0,443;1,266;41;Germinated;3,4;28,52
405;Yes;31;0,484;1,306;41;Germinated;4,8;28,54
236;Yes;25;0,34;1,258;41;Germinated;2,6;28,72
259;Yes;25;0,448;1,305;41;Germinated;2,4;29,38
274;Yes;25;0,34;1,296;41;Germinated;2,4;29,38
417;Yes;31;0,489;1,309;41;Germinated;4,4;29,47
287;Yes;28;0,376;1,19;41;Germinated;3;29,63
265;Yes;25;0,397;1,301;41;Germinated;2,3;29,73
269;No;25;0,357;1,275;41;Germinated;2,1;30,48
449;Yes;34;0,374;1,373;41;Germinated;3,8;30,61
435;No;34;0,373;1,625;41;Germinated;3,3;31,52
341;Yes;28;0,47;1,317;41;Germinated;2,3;31,59
262;Yes;25;0,426;1,244;41;Germinated;1,8;31,75
460;Yes;34;0,404;1,27;42;Germinated;3,3;31,86
313;Yes;28;0,405;1,302;41;Germinated;2,2;32,02
316;Yes;28;0,428;1,497;41;Germinated;2,2;32,06
270;Yes;25;0,447;1,271;41;Germinated;1,7;32,22
335;Yes;28;0,512;1,388;41;Germinated;2;32,59
351;Yes;31;0,45;1,354;41;Germinated;3,1;32,64
367;Yes;31;0,439;1,268;41;Germinated;3,1;32,64
395;Yes;31;0,438;1,238;41;Germinated;2,9;33,14
276;Yes;25;0,398;1,304;41;Germinated;1,5;33,25
412;Yes;31;0,413;1,222;41;Germinated;2,7;33,65
322;Yes;28;0,381;1,283;41;Germinated;1,6;33,86
371;Yes;31;0,409;1,308;41;Germinated;2,6;33,91
362;Yes;31;0,414;1,214;41;Germinated;2,5;34,16
448;No;34;0,402;1,374;41;Germinated;2;34,71
446;Yes;34;0,447;1,283;41;Germinated;1,8;35,17
281;Yes;28;0,431;1,249;41;Germinated;1,1;35,65
321;No;28;0,497;1,224;41;Germinated;1;35,91
429;Yes;34;0,367;1,338;41;Germinated;1,3;36,16
490;Yes;34;0,432;1,21;42;Germinated;1,5;36,5
268;Yes;25;0,452;1,24;41;Germinated;1;36,59
336;Yes;28;0,434;1,183;41;Germinated;0,7;37,05
306;Yes;28;0,412;1,219;41;Germinated;0,7;37,13
297;Yes;28;0,441;1,336;41;Germinated;0,6;37,52
361;Yes;31;0,499;1,253;41;Germinated;1,2;37,61
410;Yes;31;0,447;1,3;41;Germinated;1,1;37,89
415;Yes;31;0,383;1,399;41;Germinated;1,1;37,89
377;Yes;31;0,423;1,225;41;Germinated;1;38,16
333;Yes;28;0,397;1,151;41;Germinated;0,2;38,88
303;Yes;28;0,35;1,224;41;Germinated;0,2;38,96
379;Yes;31;0,417;1,29;41;Germinated;0,7;38,99
266;Yes;25;0,461;1,322;41;Germinated;0,7;39,53
409;Yes;31;0,411;1,36;41;Germinated;0,5;39,55
375;Yes;31;0,403;1,434;41;Germinated;0,4;39,83
272;No;25;0,495;1,554;64;Germinated;11,1;39,93
257;No;25;0,514;1,594;64;Germinated;10,8;40,03
423;Yes;34;0,306;1,442;64;Germinated;16,6;40,08
376;Yes;31;0,353;1,444;41;Germinated;0,3;40,12
413;Yes;31;0,5;1,481;41;Germinated;0,3;40,12
347;Yes;28;0,51;1,278;64;Germinated;11,6;40,38
438;No;34;0,472;1,401;64;Germinated;11,5;40,7
243;Yes;25;0,408;1,249;41;Germinated;0,6;40,8
251;Yes;25;0,43;1,251;41;Germinated;0,5;40,87
302;No;28;0,447;1,334;64;Germinated;9,9;41,15
411;No;31;0,494;1,333;65;Germinated;11,6;41,33
378;No;31;0,548;1,506;65;Germinated;11;41,43
324;Yes;28;0,5;1,52;64;Germinated;9;41,61
419;No;31;0,517;1,357;65;Germinated;10,1;41,78
373;No;31;0,444;1,351;65;Germinated;10;41,95
279;No;25;0,488;1,321;64;Germinated;7,4;42,77
439;No;34;0,456;1,414;64;Germinated;9,4;43,23
350;Yes;28;0,445;1,426;64;Germinated;7,4;43,51
404;Yes;31;0,408;1,42;65;Germinated;8,6;44,44
391;Yes;31;0,342;1,43;65;Germinated;8,5;44,63
197;No;22;0,515;1,407;62;Germinated;3,9;44,73
311;Yes;28;0,381;1,549;64;Germinated;6,6;44,86
352;No;31;0,533;1,589;65;Germinated;8,3;45,01
381;No;31;0,47;1,343;65;Germinated;8,1;45,39
228;No;25;0,428;1,465;64;Germinated;5,3;45,52
195;Yes;22;0,514;1,36;62;Germinated;3,2;45,65
260;Yes;25;0,501;1,331;64;Germinated;4,4;47,05
360;No;31;0,447;1,501;65;Germinated;7,2;47,17
364;Yes;31;0,446;1,563;65;Germinated;7,1;47,37
277;Yes;25;0,342;1,376;64;Germinated;4,2;47,44
293;No;28;0,407;1,326;64;Germinated;5,2;47,68
247;Yes;25;0,332;1,328;64;Germinated;3,8;48,26
339;Yes;28;0,403;1,33;64;Germinated;4,8;48,33
214;Yes;25;0,411;1,246;64;Germinated;3,4;49,18
307;No;28;0,352;1,386;64;Germinated;4,5;49,25
171;Yes;22;0,508;1,399;65;Germinated;2,3;49,92
255;Yes;25;0,357;1,433;64;Germinated;3;50,21
392;Yes;31;0,321;1,453;65;Germinated;5,7;50,34
258;Yes;25;0,32;1,543;64;Germinated;2,9;50,49
327;Yes;28;0,417;1,414;64;Germinated;3,7;51,06
168;Yes;22;0,451;1,371;65;Germinated;1,7;51,31
235;Yes;25;0,373;1,315;64;Germinated;2,5;51,71
152;Yes;22;0,524;1,472;72;Germinated;5,9;52,13
284;Yes;28;0,419;1,274;65;Germinated;3,4;52,17
479;Yes;34;0,431;1,239;65;Germinated;4,4;52,72
282;Yes;28;0,538;1,372;65;Germinated;3,1;52,98
424;Yes;34;0,484;1,436;64;Germinated;3,8;53,21
249;Yes;25;0,452;1,317;64;Germinated;2;53,55
261;Yes;25;0,42;1,242;64;Germinated;1,8;54,42
160;Yes;22;0,496;1,413;72;Germinated;3,3;54,82
325;No;28;0,378;1,4;64;Germinated;2,2;55,38
136;Yes;19;0,447;1,268;70;Germinated;1,9;55,9
458;No;34;0,433;1,204;64;Germinated;2,7;56,16
397;Yes;31;0,371;1,449;65;Germinated;3;56,72
394;No;31;0,303;1,342;65;Germinated;2,6;57,74
241;Yes;25;0,399;1,299;64;Germinated;1;59,26
459;No;34;0,45;1,406;65;Germinated;1;60,29
340;Yes;28;0,376;1,377;64;Germinated;0,7;60,49
201;Yes;22;0,379;1,43;62;Germinated;0,1;62,25
353;Yes;31;0,471;1,36;65;Germinated;0,9;62,27
300;Yes;28;0,405;1,286;65;Germinated;0,2;62,63
151;No;22;0,38;1,31;72;Germinated;0,6;62,99
472;Yes;34;0,417;1,467;90;Germinated;12,2;66,17
242;No;25;0,538;1,392;88;Germinated;7,2;66,75
294;No;28;0,473;1,379;88;Germinated;7,5;67,52
196;Yes;22;0,613;1,514;88;Germinated;6,7;67,55
388;No;31;0,398;1,304;87;Germinated;7,3;69,13
202;No;22;0,481;1,321;88;Germinated;3,9;70,17
456;Yes;34;0,478;1,424;90;Germinated;8,1;70,71
200;Yes;22;0,411;1,478;88;Germinated;3;71,41
374;No;31;0,304;1,648;87;Germinated;6,1;71,64
484;No;34;0,474;1,566;90;Germinated;7,3;72,23
454;Yes;34;0,409;1,363;90;Germinated;7,1;72,39
254;Yes;25;0,437;1,364;88;Germinated;3;73,96
485;Yes;34;0,413;1,458;90;Germinated;6,2;74,21
357;No;31;0,462;1,646;87;Germinated;4,6;75,01
463;No;34;0,422;1,593;90;Germinated;5,6;75,22
398;No;31;0,428;1,621;87;Germinated;4,3;75,71
244;Yes;25;0,381;1,276;88;Germinated;2,4;75,8
383;Yes;31;0,486;1,301;87;Germinated;4,2;75,95
216;No;25;0,478;1,28;88;Germinated;2;77,3
430;No;34;0,513;1,654;90;Germinated;4,4;77,44
444;No;34;0,362;1,441;90;Germinated;3,9;78,59
