"","ID_DIRECTORIO","ID_IDENTIFICACION","REGION_H","R_P_C","ESTH","SECH","TIPO","MESH","VIVH","HOGH","ANO_ENCUESTA","EDADJH","SEXOJH","CURSOJH","NIVELJH","TERMINO_NIVELJH","CINEJH","PROVEEDOR","NACIONALIDAD","CONYUGALJH","INFORMANTE","GRUPO_EDAD","TOTPERH","TOTMENH","TOTMAYH","TOTFTH","TOTOCUPH","TOTDESOH","TOTFFTH","PERCH","PERCOCUH","GRUJH1","CISEJH","B8JH","B9JH","B10JH","B11JH","B12JH","RAM_SUBCJH1","RAM_SUBCJH1_REV4CL_CAENES","RAMJH1","RAMJH1_REV4CL_CAENES","TEMJH","B16JH","MESES_EMPLEO","TME","B19JH","HOR_HABJH","HOR_EFEJH","GRU_CESJH1","CISE_CESJH","RAM_CESJH1","RAM_CESJH1_REV4CL_CAENES","SS_T","SVAR_T","REG_T","ING_T_D","GAN_T","ING_T_CP","ING_T_EMP","AUTOCONSUMO_T","AHORROIMP_T","ING_T_I","ING_T_I_AI","ING_OT","ING_T_T","ING_T_T_AI","ING_A_P","ING_A_OB","ING_A_T","TIPO_VIVIENDA","VIVIENDA_OTRO","ALQ_IMP","ING_CAH","ING_INT","ING_DIV","ING_P_T","JUBVEJEZ_T","JUBINVALIDEZ_T","MONTEPIO_T","ING_JUB","PORFAND_T","PDISCAP_T","PESTADO_T","PALIMENT_T","POTRAS_T","ING_PEN","SUF_T","SUBOTROS_T","ING_SUBE","ING_SUBC","BECAEST_T","DONACIONES_T","REMESAS_T","ING_BDR","SALEXT_T","OTRAFUENT_T","ING_OTROS","ING_AUT","ING_MON","ING_TOTAL","ING_TOTAL_E","ING_PROM","ING_PROM_AUT","CSE_ESPECIFICOJH","FACT_HOG","DECILH"
"1",19373,206185,11,11201,11041,NA,1,11,2,1,2016,31,1,4,5,1,5,1,"00",2,NA,3,5,1,4,2,2,0,2,4,2,8,3,1,2,NA,2,1,"",NA,3,2,5,7,47,6,2,51,84,NA,NA,NA,NA,1100000,0,0,1100000,0,0,0,0,0,0,0,70000,1170000,1170000,0,0,0,3,"",2e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360601,0,0,360601,0,0,0,1530601,1530601,1730601,222342673.707624,346120.2,306120.2,1,128.477143898347,7
"2",14095,221785,13,13132,13311,NA,1,10,11,1,2016,32,1,5,9,1,7,1,"00",3,1,3,2,0,2,2,2,0,0,2,2,2,2,NA,NA,NA,NA,NA,"",NA,11,13,1,3,26,5,2,50,40,NA,NA,NA,NA,550917.793781839,0,0,550917.793781839,701168.101176886,701168.101176886,0,0,0,701168.101176886,701168.101176886,0,1252085.89495872,1252085.89495872,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252085.89495872,1252085.89495872,1252085.89495872,111725898.287902,626042.947479362,626042.947479362,1,89.2318160740763,9
"3",21941,219270,4,4102,4011,NA,1,12,2,1,2016,53,2,4,4,1,5,1,"00",5,1,5,2,0,2,2,2,0,0,1,1,5,2,NA,NA,NA,NA,NA,"",NA,7,7,1,4,30,5,2,55,60,NA,NA,NA,NA,0,0,0,0,250602.964604663,250602.964604663,0,0,249868.547892384,250602.964604663,734.416712278035,0,250602.964604663,734.416712278035,0,0,0,3,"",249868.547892384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250602.964604663,250602.964604663,500471.512497047,132522694.593117,250235.756248524,125301.482302331,1,264.795680241439,5
"4",18729,199069,15,15101,15049,99,3,10,10,1,2016,34,1,4,4,1,5,1,"20042",3,NA,3,2,0,2,2,2,0,0,2,2,3,1,NA,NA,NA,NA,NA,"",NA,4,3,2,3,22,4,2,60,60,NA,NA,NA,NA,0,0,0,0,500834.35798349,0,500834.35798349,0,0,500834.35798349,500834.35798349,214941.078078342,715775.436061832,715775.436061832,0,0,0,3,"",80133.4972773584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715775.436061832,715775.436061832,795908.933339191,26914541.6886067,397954.466669595,357887.718030916,1,33.8161070459258,8
"5",24205,233844,12,12101,12011,NA,1,11,4,1,2016,58,1,4,5,1,5,1,"00",1,1,6,3,1,2,2,2,0,0,2,2,3,1,NA,NA,NA,NA,NA,"",NA,4,3,1,3,431,8,2,60,60,NA,NA,NA,NA,1e+06,0,0,1e+06,1503518.20970025,0,1503518.20970025,0,0,1503518.20970025,1503518.20970025,0,2503518.20970025,2503518.20970025,0,0,0,3,"",450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2503518.20970025,2503518.20970025,2953518.20970025,394201846.331,984506.069900083,834506.069900083,1,133.468568108475,10
"6",13328,220737,13,13114,13301,NA,1,10,4,1,2016,41,1,5,9,1,7,1,"00",1,1,4,4,1,3,2,2,0,1,3,2,1,3,1,2,NA,2,1,"",NA,11,13,1,1,28,5,2,45,45,NA,NA,NA,NA,3105173.01949764,0,126210.258211839,3231383.27770948,0,0,0,0,0,0,0,0,3231383.27770948,3231383.27770948,0,0,0,3,"",350584.050588443,0,0,0,0,150250.307395047,0,0,150250.307395047,0,0,0,0,0,0,0,0,0,0,107403.928069559,0,0,107403.928069559,0,0,0,3489037.51317408,3489037.51317408,3839621.56376253,480413980.04226,959905.390940632,872259.378293521,1,125.120138030346,10
"7",21540,210929,7,7401,7071,NA,1,10,5,1,2016,30,1,3,8,1,6,1,"00",2,1,3,3,1,2,1,1,0,1,2,1,NA,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,9,8,150250.307395047,0,0,150250.307395047,0,0,0,0,0,0,0,0,150250.307395047,150250.307395047,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107189.570964342,34056.7363428773,0,141246.30730722,0,0,0,291496.614702267,291496.614702267,291496.614702267,16074440.7252008,97165.5382340889,97165.5382340889,23,55.144519402461,1
"8",23251,210460,12,12101,12011,NA,1,10,6,1,2016,60,2,8,3,1,4,0,"00",5,1,6,2,0,2,1,1,0,1,2,1,NA,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,8,9,0,0,0,0,60100.1229580188,60100.1229580188,0,0,0,60100.1229580188,60100.1229580188,0,60100.1229580188,60100.1229580188,0,0,0,4,"",200333.743193396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60100.1229580188,60100.1229580188,260433.866151415,22921500.2620759,130216.933075707,30050.0614790094,23,88.0127481145231,1
"9",21567,211004,15,15101,15011,NA,1,10,3,1,2016,81,2,3,3,2,3,1,"00",4,1,7,3,0,3,1,1,0,2,2,1,NA,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,4,3,0,0,0,0,300763.789307085,300763.789307085,0,0,0,300763.789307085,300763.789307085,0,300763.789307085,300763.789307085,0,0,0,3,"",150250.307395047,0,0,0,0,0,0,0,0,0,0,100166.871596698,0,0,100166.871596698,0,0,0,0,0,0,0,0,0,0,0,400930.660903783,400930.660903783,551180.96829883,19134071.8524123,183726.989432943,133643.553634594,19,34.7146816615745,3
"10",22887,235503,7,7401,7071,NA,1,12,8,1,2016,39,1,4,4,1,5,0,"00",2,NA,4,2,0,2,2,1,1,0,1,1,NA,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,6,6,599684.514941723,0,0,599684.514941723,0,0,0,0,0,0,0,0,599684.514941723,599684.514941723,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599684.514941723,599684.514941723,599684.514941723,23663194.539935,299842.257470861,299842.257470861,8,39.4594056547127,6
